Wavelength_nm,Absorbance,Clean_Signal
200.0,0.017391116598042797,6.1212426496517105e-06
200.5,-0.004832055507589986,7.195033401477694e-06
201.0,0.02267754665043066,8.44781690642331e-06
201.5,0.053315952713483244,9.90773920235279e-06
202.0,-0.008183761035362102,1.1607079954658075e-05
202.5,-0.00818121068193836,1.3582811282961322e-05
203.0,0.05528832576730705,1.5877224548341967e-05
203.5,0.026878754152583124,1.8538632231312775e-05
204.0,-0.01640998135510651,2.1622152616812536e-05
204.5,0.019014792111122836,2.5190585614072606e-05
205.0,-0.016190303859762105,2.931538867407387e-05
205.5,-0.016266463612536503,3.407776242249169e-05
206.0,0.008508249361109051,3.956985629785765e-05
206.5,-0.0669189124578543,4.5896105168645435e-05
207.0,-0.0603189494293624,5.3174708593750966e-05
207.5,-0.019618524258352015,6.153926508203104e-05
208.0,-0.035377948637314006,7.114057439083294e-05
208.5,0.011080805262406892,8.21486215723053e-05
209.0,-0.03168608788612231,9.475475712007817e-05
209.5,-0.04932145545855843,0.00010917408817678114
210.0,0.05142335500857705,0.0001256480963226567
210.5,-0.0077577230190649885,0.0001444474979637593
211.0,0.002529362527837422,0.00016587536376008757
211.5,-0.04967591600360772,0.0001902705138632719
212.0,-0.018835384152428775,0.00021801120595261875
212.5,0.004131809772993804,0.0002495191331484903
213.0,-0.03999951146095759,0.0002852637488230149
213.5,0.013475197577197139,0.0003257669350986176
214.0,-0.02065074611575586,0.00037160803140231255
214.5,-0.009785852003960049,0.0004234292388046395
215.0,-0.020577790013036612,0.00048194141499228197
215.5,0.06537766673139063,0.0005479302735778019
216.0,0.00014986013418565313,0.0006222630000133404
216.5,-0.03631398721883444,0.0007058952946220747
217.0,0.029588950774778206,0.0007998788511665881
217.5,-0.041824158472073436,0.0009053692769123456
218.0,0.008333860282460066,0.001023634457293626
218.5,-0.06743239097076595,0.0011560633650261993
219.0,-0.04518233640162966,0.0013041753098154152
219.5,0.008359772876081448,0.0014696296206621244
220.0,0.02750056604799646,0.001654235748157092
220.5,0.007857853610714604,0.0018599637690656355
221.0,-0.0019587346136575555,0.0020889552699308632
221.5,-0.008195094765261684,0.002343534580363426
222.0,-0.049122049342718944,0.0026262203201410177
222.5,-0.02225481007659395,0.002939737217220854
223.0,-0.012835328837304195,0.0032870281462883673
223.5,0.040670544247210644,0.0036712663295485897
224.0,0.016122507768039883,0.004095867633143734
224.5,-0.05714190255380497,0.004564502883890722
225.0,0.016424049050841705,0.005081110122023878
225.5,-0.007827973118212022,0.005649906696359058
226.0,-0.017416868911875973,0.006275401098832585
226.5,0.02837107453522093,0.0069624044257905505
227.0,0.04380102463115556,0.007716041343797278
