Wavelength_nm,Sample_1_C1.0,Sample_2_C2.5,Sample_3_C5.0,Sample_4_C7.5,Sample_5_C10.0,Sample_6_C12.5,Sample_7_C15.0,Sample_8_C17.5,Sample_9_C20.0,Sample_10_C25.0
220.0,0.047233653093594015,0.050589936174421625,0.051460250262113025,0.04646399862247222,0.053364582663242247,0.046103119615803254,0.05136645872832665,0.05022065023020848,0.045210183813751366,0.04842973943197167
220.5,0.05310900119438304,0.05262746985793067,0.050694340414760626,0.05406441392088008,0.05050245553541511,0.052991490179463176,0.04895346257932806,0.04926873066246937,0.049522616728491724,0.05198555039458075
221.0,0.05506713891057497,0.05073135625253861,0.04507472697173897,0.0496078381143057,0.050974352378185324,0.05343700634047623,0.05041398026211746,0.05073624088513769,0.05036413634515101,0.0548938225393471
221.5,0.05274058103461664,0.05582104245871225,0.04868337544327139,0.05210555140471001,0.05051907909991656,0.04805866419556129,0.05088656658154195,0.05139212375160836,0.052994124061000576,0.04818543767323093
222.0,0.05763072570431295,0.049971668760419065,0.0515694286660289,0.05285240061442904,0.05246895471796442,0.05446056126424894,0.049765338959960506,0.04681231575584332,0.05040081519507199,0.050911938855012905
222.5,0.050179045777738296,0.05790385473635497,0.04887298264672172,0.05172638539175533,0.054979428544492975,0.057118962943350254,0.051975878136387765,0.05699204874571734,0.05404276622706573,0.05205643671552762
223.0,0.04926654017427284,0.05288078685858468,0.054802307611024025,0.054763863535978945,0.05040365219493812,0.049638669133855284,0.04836170936651499,0.0531328018704358,0.058815547804322334,0.0488252394985996
223.5,0.048164453372227446,0.04920920999099655,0.05809532309173247,0.0520798949221845,0.05153179172217698,0.05075516802371065,0.05203575054267781,0.05483975347279694,0.05595878544613828,0.05528940069878207
224.0,0.058488879513232096,0.05438617969164373,0.057660018448914656,0.05661949123310579,0.053096287701315414,0.057062316635087276,0.05315657220135911,0.0568677144401016,0.05387066605329851,0.0518466934738857
224.5,0.05646400300367751,0.05245911011411368,0.053864201560286026,0.05046885621887473,0.05047144757573365,0.055325811365168565,0.0537450512617438,0.05145236823308736,0.05396866927914671,0.053936479811852164
