Wavelength_nm,Absorbance
200.0,0.5
200.5,0.5376201283392827
201.0,0.5747683311850013
201.5,0.6109825100789583
202.0,0.6458199857369465
202.5,0.6788666261498864
203.0,0.709745292877132
203.5,0.7381234044666122
204.0,0.7637194375651157
204.5,0.7863082123021626
205.0,0.8057248383023655
205.5,0.8218672304715551
206.0,0.8346971387045563
206.5,0.8442396720163309
207.0,0.850581334409021
207.5,0.8538666261498863
208.0,0.8542932991549526
208.5,0.8521063879893069
209.0,0.8475911678006016
209.5,0.841065216564911
210.0,0.8328697807033036
210.5,0.8233606598909978
211.0,0.8128988383175464
211.5,0.8018410954861126
212.0,0.7905308297206477
212.5,0.7792893218813453
213.0,0.7684076555124003
213.5,0.7581394930412305
214.0,0.7486948861255257
214.5,0.7402352723355071
215.0,0.7328697807033038
215.5,0.7266529360013743
216.0,0.7215838167335914
216.5,0.7176066855965154
217.0,0.7146130744882104
217.5,0.7124452699125768
218.0,0.7109011097422789
218.5,0.7097399696235392
219.0,0.7086897876375463
219.5,0.7074549499080183
220.0,0.7057248383023657
220.5,0.7031828247466718
221.0,0.699515485373095
221.5,0.6944218020217301
222.0,0.6876221186688846
222.5,0.6788666261498864
223.0,0.667943159945194
223.5,0.6546841125238404
224.0,0.6389722833770219
224.5,0.6207455158947736
225.0,0.6
225.5,0.5767921522242541
226.0,0.5512390198820089
226.5,0.5235171923138331
227.0,0.49386023892979564
227.5,0.4625547300874232
228.0,0.42993493178961006
228.5,0.3963762979261795
229.0,0.3622879135018944
229.5,0.32810406826137445
230.0,0.2942751616976346
230.5,0.2612581570839355
231.0,0.22950681348746438
231.5,0.19946193042855126
232.0,0.17154183979922646
232.5,0.14613337385011377
233.0,0.12358352663679992
233.5,0.10419200956581105
234.0,0.08820488000737775
234.5,0.0758093958795982
235.0,0.0671302192966963
235.5,0.062227059545465355
236.0,0.06109381061544357
236.5,0.06365920212109594
237.0,0.06978894561261022
237.5,0.07928932188134517
238.0,0.09191211982085765
238.5,0.1073608045659781
239.0,0.12529776280746416
239.5,0.14535244710095607
240.0,0.1671302192966962
240.5,0.19022167644313492
241.0,0.21421223107438755
241.5,0.23869171195860256
242.0,0.263263751303542
242.5,0.28755473008742316
243.0,0.31122206446596834
243.5,0.3339616328213425
244.0,0.3555141645544742
244.5,0.37567043764747243
245.0,0.3942751616976343
245.5,0.4112294558168648
246.0,0.4264918656939148
246.5,0.4400779003710613
247.0,0.45205810599785745
247.5,0.46255473008742304
248.0,0.471737064721548
248.5,0.4798155898689512
249.0,0.4870350676899884
249.5,0.4936667646687634
250.0,0.49999999999999994
250.5,0.5063332353312363
251.0,0.512964932310012
251.5,0.520184410131049
252.0,0.528262935278452
252.5,0.5374452699125768
253.0,0.5479418940021425
253.5,0.5599220996289387
254.0,0.5735081343060848
254.5,0.5887705441831348
255.0,0.6057248383023656
255.5,0.6243295623525276
256.0,0.6444858354455256
256.5,0.666038367178657
257.0,0.6887779355340311
257.5,0.7124452699125772
258.0,0.7367362486964579
258.5,0.7613082880413975
259.0,0.7857877689256118
259.5,0.8097783235568646
260.0,0.8328697807033035
260.5,0.8546475528990439
261.0,0.8747022371925359
261.5,0.8926391954340217
262.0,0.9080878801791422
262.5,0.9207106781186545
263.0,0.9302110543873898
263.5,0.936340797878904
264.0,0.9389061893845564
264.5,0.9377729404545346
265.0,0.9328697807033037
265.5,0.9241906041204019
266.0,0.9117951199926222
266.5,0.895807990434189
267.0,0.8764164733632002
267.5,0.8538666261498864
268.0,0.8284581602007735
