Wavelength_nm,Std_2.0ug_mL,Std_5.0ug_mL,Std_10.0ug_mL,Std_20.0ug_mL
200.0,0.02301108050505245,0.06197706757882727,0.12530152974873285,0.2452652198105406
200.5,0.025606902006946698,0.06344664576588195,0.13102434936632365,0.2583446199523698
201.0,0.02086922608694105,0.07548684949588935,0.13175287099339822,0.27385075328711994
201.5,0.03367573628104932,0.07113103325077663,0.14374946772938615,0.2805194528414228
202.0,0.024813542118098993,0.0758134517089435,0.15283325229008934,0.2986839909748838
202.5,0.02905593745498254,0.08370039223106256,0.15574564107759903,0.3174908843877232
203.0,0.03441212520178207,0.07953100516120112,0.16531393950861606,0.33185321755264763
203.5,0.03041164177448406,0.08359385511197352,0.17106317574867366,0.33853961721670145
204.0,0.03212655759624388,0.08881384530958833,0.17651494555695657,0.3545134330486365
204.5,0.03362296790602793,0.08988536700368312,0.18122615312226356,0.36471915091476914
205.0,0.038939223164245,0.0896338587392489,0.18772338372288944,0.3738189933358042
205.5,0.04497131985513468,0.09462211000996176,0.1940825912048857,0.37946672552117144
206.0,0.03889501916198903,0.09584951561648082,0.19095680790341882,0.3853279594576067
206.5,0.035950511337255874,0.10007113398931952,0.1996062605969302,0.3905157729235487
207.0,0.04130739313147018,0.09423117983590444,0.19913698123901302,0.3930636737122663
207.5,0.03813524456393417,0.09770877204531404,0.20095403115525884,0.3999743821420693
208.0,0.03994469926258821,0.10345939990884066,0.19660064712526515,0.39988832311946576
208.5,0.04344941801813134,0.10538302892077009,0.20002748243349822,0.40394704125497555
209.0,0.03744800278004969,0.09469550039676311,0.20291168914516616,0.40006948231815237
209.5,0.039333500061514405,0.10020060330416437,0.19329270688561626,0.3942833483628393
210.0,0.03613900245546865,0.09399149168231832,0.18793344583397464,0.38722732304817287
210.5,0.03762917410129908,0.0926756320669841,0.18526226617456804,0.37141565775685376
211.0,0.03805929491238185,0.09060832134117795,0.18724612827389148,0.37625623234148925
211.5,0.033389424392350715,0.08962188005916179,0.18893370968543122,0.3675559500109966
212.0,0.034290896201381135,0.0912577247294119,0.1799078842575719,0.35234360469633835
212.5,0.03344723207924078,0.08752672424212615,0.1757967874989164,0.34116774958405616
213.0,0.031000304553598076,0.08246060670728456,0.1648637956027606,0.32880564379649785
213.5,0.02802985197454733,0.0778917894488122,0.16215743329979662,0.3205954476548257
214.0,0.025943670551896905,0.07552817211332555,0.1502228672051491,0.30245955739628344
214.5,0.02831015628017505,0.07160881334184246,0.1456928218906084,0.28150557250409297
215.0,0.026488928197626098,0.07061940765407124,0.13567854382534997,0.2703045113188912
215.5,0.0324910226329479,0.06259759077634355,0.12733668428912395,0.25465548421252054
216.0,0.016981626336416138,0.06069623793949089,0.1218277702171762,0.24565788969962293
216.5,0.023113535986568543,0.056635188344868755,0.11244835631581097,0.23393307872577046
217.0,0.02238804540562768,0.053034855036539354,0.1103089782207803,0.20996230408213692
217.5,0.023879548213725038,0.050249269539962844,0.09958827296623553,0.19316749560281973
